model,product,file_path,expected_date,raw_text,predicted_date,status,is_correct,processing_time_sec
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_10_s1_date.png,15.03.2026,12.02.2026,12.02.2026,vale,0,1.701254
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_10_s2_date.png,15.03.2026,05.08.2026,05.08.2026,vale,0,1.701254
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_10_s3_date.png,15.03.2026,15.03.2026,15.03.2026,oige,1,1.701254
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_10_s4_date.png,15.03.2026,15.03.2026,15.03.2026,oige,1,1.701254
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_11_s1_date.png,15.03.2026,15.03.2026,15.03.2026,oige,1,1.076451
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_11_s2_date.png,15.03.2026,11.03.2021,11.03.2021,vale,0,1.076451
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_11_s3_date.png,15.03.2026,15.03.2026,15.03.2026,oige,1,1.076451
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_11_s4_date.png,15.03.2026,15.03.2026,15.03.2026,oige,1,1.076451
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_12_s1_date.png,15.03.2026,15.03.2026,15.03.2026,oige,1,1.299485
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_12_s2_date.png,15.03.2026,16.03.2026,16.03.2026,vale,0,1.299485
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_12_s3_date.png,15.03.2026,15.03.2026,15.03.2026,oige,1,1.299485
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_12_s4_date.png,15.03.2026,15.03.2026,15.03.2026,oige,1,1.299485
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_13_s1_date.png,15.03.2026,16.03.2026,16.03.2026,vale,0,0.989426
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_13_s2_date.png,15.03.2026,N/A,NA,tuvastamata,0,0.989426
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_13_s3_date.png,15.03.2026,19.03.2026,19.03.2026,vale,0,0.989426
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_13_s4_date.png,15.03.2026,15.03.2026,15.03.2026,oige,1,0.989426
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_14_s1_date.png,15.03.2026,13.03.2026,13.03.2026,vale,0,0.953073
OpenRouter (google/gemini-2.0-flash-001),rulaad,/home/reimoz/Documents/Projects/tooteliin/rulaad/date/takt_14_s2_date.png,15.03.2026,15.03.2020,15.03.2020,vale,0,0.953073
